Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,239326,30,1,SILVER,SILVER22FEB23P73750,22-FEB-2023,OPTFUT,PE,73750,0.5,
MCX,239325,30,1,SILVER,SILVER22FEB23C73750,22-FEB-2023,OPTFUT,CE,73750,0.5,
MCX,239324,30,1,SILVER,SILVER22FEB23P73500,22-FEB-2023,OPTFUT,PE,73500,0.5,
MCX,239323,30,1,SILVER,SILVER22FEB23C73500,22-FEB-2023,OPTFUT,CE,73500,0.5,
MCX,239322,30,1,SILVER,SILVER22FEB23P73250,22-FEB-2023,OPTFUT,PE,73250,0.5,
MCX,239321,30,1,SILVER,SILVER22FEB23C73250,22-FEB-2023,OPTFUT,CE,73250,0.5,
MCX,239320,30,1,SILVER,SILVER22FEB23P73000,22-FEB-2023,OPTFUT,PE,73000,0.5,
MCX,239319,30,1,SILVER,SILVER22FEB23C73000,22-FEB-2023,OPTFUT,CE,73000,0.5,
MCX,239318,30,1,SILVER,SILVER22FEB23P72750,22-FEB-2023,OPTFUT,PE,72750,0.5,
MCX,239317,30,1,SILVER,SILVER22FEB23C72750,22-FEB-2023,OPTFUT,CE,72750,0.5,
MCX,239316,30,1,SILVER,SILVER22FEB23P72500,22-FEB-2023,OPTFUT,PE,72500,0.5,
MCX,239315,30,1,SILVER,SILVER22FEB23C72500,22-FEB-2023,OPTFUT,CE,72500,0.5,
MCX,239314,30,1,SILVER,SILVER22FEB23P72250,22-FEB-2023,OPTFUT,PE,72250,0.5,
MCX,239313,30,1,SILVER,SILVER22FEB23C72250,22-FEB-2023,OPTFUT,CE,72250,0.5,
MCX,239312,30,1,SILVER,SILVER22FEB23P72000,22-FEB-2023,OPTFUT,PE,72000,0.5,
MCX,239311,30,1,SILVER,SILVER22FEB23C72000,22-FEB-2023,OPTFUT,CE,72000,0.5,
MCX,239310,30,1,SILVER,SILVER22FEB23P71750,22-FEB-2023,OPTFUT,PE,71750,0.5,
MCX,239309,30,1,SILVER,SILVER22FEB23C71750,22-FEB-2023,OPTFUT,CE,71750,0.5,
MCX,239308,30,1,SILVER,SILVER22FEB23P71500,22-FEB-2023,OPTFUT,PE,71500,0.5,
MCX,239307,30,1,SILVER,SILVER22FEB23C71500,22-FEB-2023,OPTFUT,CE,71500,0.5,
MCX,239306,30,1,SILVER,SILVER22FEB23P71250,22-FEB-2023,OPTFUT,PE,71250,0.5,
MCX,239305,30,1,SILVER,SILVER22FEB23C71250,22-FEB-2023,OPTFUT,CE,71250,0.5,
MCX,239304,30,1,SILVER,SILVER22FEB23P71000,22-FEB-2023,OPTFUT,PE,71000,0.5,
MCX,239303,30,1,SILVER,SILVER22FEB23C71000,22-FEB-2023,OPTFUT,CE,71000,0.5,
MCX,239302,30,1,SILVER,SILVER22FEB23P70750,22-FEB-2023,OPTFUT,PE,70750,0.5,
MCX,239301,30,1,SILVER,SILVER22FEB23C70750,22-FEB-2023,OPTFUT,CE,70750,0.5,
MCX,239300,30,1,SILVER,SILVER22FEB23P70500,22-FEB-2023,OPTFUT,PE,70500,0.5,
MCX,239299,30,1,SILVER,SILVER22FEB23C70500,22-FEB-2023,OPTFUT,CE,70500,0.5,
MCX,239298,30,1,SILVER,SILVER22FEB23P70250,22-FEB-2023,OPTFUT,PE,70250,0.5,
MCX,239297,30,1,SILVER,SILVER22FEB23C70250,22-FEB-2023,OPTFUT,CE,70250,0.5,
MCX,239296,30,1,SILVER,SILVER22FEB23P70000,22-FEB-2023,OPTFUT,PE,70000,0.5,
MCX,239295,30,1,SILVER,SILVER22FEB23C70000,22-FEB-2023,OPTFUT,CE,70000,0.5,
MCX,239294,30,1,SILVER,SILVER22FEB23P69750,22-FEB-2023,OPTFUT,PE,69750,0.5,
MCX,239293,30,1,SILVER,SILVER22FEB23C69750,22-FEB-2023,OPTFUT,CE,69750,0.5,
MCX,239292,30,1,SILVER,SILVER22FEB23P69500,22-FEB-2023,OPTFUT,PE,69500,0.5,
MCX,239291,30,1,SILVER,SILVER22FEB23C69500,22-FEB-2023,OPTFUT,CE,69500,0.5,
MCX,239290,30,1,SILVER,SILVER22FEB23P69250,22-FEB-2023,OPTFUT,PE,69250,0.5,
